request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay in full today. The balance remains safely above the IDR 24768300 minimum requirement throughout the forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay in full today. The balance remains safely above the ZAR 20500 minimum requirement throughout the forecast.
request_28,297.87,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1100 minimum reserve.
request_29,3002.49,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 28300 minimum reserve.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,stop:event_2694,Use recommended installment plan (payment_option_83). Payments are distributed safely to maintain the required USD 900 reserve.
request_31,2821115.86,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 16588900 minimum reserve.
request_32,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 35700 minimum reserve.
request_33,26085.24,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 102100 minimum reserve.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay in full today. The balance remains safely above the INR 138500 minimum requirement throughout the forecast.
request_35,24618.61,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 106400 minimum reserve.
request_36,593.39,affordable_later,wait,2026-09-15:3954.00,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required USD 2400 minimum.
request_37,4564807.93,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 17056200 minimum reserve.
request_38,176.73,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Wait until 2025-10-15 for full payment. Paying earlier would reduce available balance below the required EUR 400 minimum.
request_39,57782.58,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 213400 minimum reserve.
request_40,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1500 minimum reserve.
request_41,8290661.72,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 25366600 minimum reserve.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay in full today. The balance remains safely above the INR 113100 minimum requirement throughout the forecast.
request_43,8410705.29,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15 for full payment. Paying earlier would reduce available balance below the required IDR 21398000 minimum.
request_44,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 82900 minimum reserve.
request_45,3482181.55,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required IDR 11149800 minimum.
request_46,36183.39,affordable_with_plan,partial_payment,2024-12-03:36183.39|2024-12-15:13266.61,2024-12-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2024-12-15 to stay above the INR 84000 reserve.
request_47,21583504.96,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 30049000 minimum reserve.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay in full today. The balance remains safely above the INR 71300 minimum requirement throughout the forecast.
request_49,12533994.38,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 20275700 minimum reserve.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay in full today. The balance remains safely above the INR 99700 minimum requirement throughout the forecast.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay in full today. The balance remains safely above the IDR 7811000 minimum requirement throughout the forecast.
request_52,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 41500 minimum reserve.
request_53,475.29,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 2100 minimum reserve.
request_54,2172.08,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 37000 minimum reserve.
request_55,130328.43,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use recommended installment plan (payment_option_151). Payments are distributed safely to maintain the required INR 124300 reserve.
request_56,649.55,affordable_with_plan,partial_payment,2025-02-03:649.55|2025-02-15:232.01,2025-02-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2025-02-15 to stay above the USD 2100 reserve.
request_57,12798.79,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Wait until 2026-06-15 for full payment. Paying earlier would reduce available balance below the required ZAR 42700 minimum.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay in full today. The balance remains safely above the IDR 14433900 minimum requirement throughout the forecast.
request_59,140600,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 132600 minimum reserve.
request_60,121.67,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait until 2026-01-15 for full payment. Paying earlier would reduce available balance below the required USD 400 minimum.
request_61,29062,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 36700 minimum reserve.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay in full today. The balance remains safely above the USD 1300 minimum requirement throughout the forecast.
request_63,39511.91,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 153500 minimum reserve.
